Lasso,Regforest,SVR,Standardized Lasso,Standardized Regforest,Standardized SVR
0.536967518160182,0.4833250976937823,0.6293900136305802,0.5562093141502609,0.4779325441442216,0.5703111162036806
0.5293414048702832,0.47059361241698383,0.5722222222222222,0.5354435614257642,0.5342872422456035,0.5188151381737681
0.5321012101210122,0.5513327046990413,0.5879010350014593,0.5543593543027772,0.6014240811836286,0.5330917581554074
0.5881276217804194,0.5051811163489786,0.6398354854136776,0.5598218214114915,0.5853981007036961,0.5685050215208034
0.5858031141402867,0.5551045105163583,0.6049132410331916,0.5768580746792055,0.6081716497660832,0.5772330934796204
0.51107755327719,0.49962039351844967,0.5725095942045356,0.5003772283673353,0.5174497103159622,0.5206161693930755
0.5250820673120015,0.47093612754324643,0.5932424710943802,0.5213551469929192,0.547041375369723,0.5259215066774222
0.5843807608513489,0.558340632931294,0.606184530381013,0.5594874040901936,0.5479691568230076,0.5692623864243027
0.5089301361552979,0.4787779724993259,0.5893653949851712,0.5325559449986519,0.508397226341332,0.5143894075222432
0.5809433318373911,0.5276585698792027,0.5960581921537829,0.5157228205991249,0.5188427951681065,0.556037061969408
0.5329099142312217,0.4658902079693014,0.5975998161281849,0.4742443839152134,0.5488859195303846,0.5224250808008131
0.5767256830473205,0.5430506554016761,0.5973151057360567,0.6106952075032327,0.5426206120462848,0.5346531081115343
0.5302073700605885,0.4747381624569882,0.6151063453110315,0.5227359833810143,0.5888293634725091,0.51934800992167
0.5475863932741332,0.5323183515467902,0.6652763516023463,0.5778461086479669,0.5662767852224527,0.5908678946449094
0.5534258343549614,0.5126375210212332,0.6214765223018763,0.5795798943583339,0.5341783033529152,0.5639062578331153
0.5184722459749334,0.5536109550218661,0.5542583860643522,0.5608264518335736,0.4796645574259119,0.5191138745693973
0.5710106218082277,0.5141935601858604,0.6144256404286192,0.5604717790335594,0.5160754486044632,0.5479569311168176
0.49604224998270535,0.4419319882323385,0.4964741617543719,0.5347299845986361,0.4987718504574896,0.45846638097075926
0.5611505989236882,0.4648088368264772,0.5940797205964129,0.5465360291274748,0.5732774622004675,0.5536756698194731
0.5438963554392184,0.5505434943455543,0.5753501349898222,0.5286746498650101,0.5596059809863301,0.5345251679562771
0.5369278373987105,0.5346518643471422,0.6071288122613294,0.5756439578180466,0.6043198729159982,0.5415641267114428
0.5565862474781439,0.4864875798587761,0.646798818930733,0.6043092215870881,0.5813986844317417,0.5627532363819772
0.5079749310518541,0.5091140163255548,0.5769284134668751,0.577523971754741,0.5836815428161582,0.5378414320722013
0.5633373934226553,0.5110073532728832,0.6101236572883617,0.5445403703202458,0.5537291419176654,0.5647374350260397
0.5711578046246778,0.5458370205070986,0.6323934246469931,0.5379386133661652,0.5454056211765611,0.5819663537378323
0.5076920494398505,0.5653798377141559,0.6077371144936443,0.5979754944243295,0.5777714362452159,0.5742650135066034
0.5455276427651679,0.4668060199083284,0.59282983480525,0.5526860503264639,0.5949727583218443,0.515514861079768
0.5119353757423627,0.5673655516406397,0.560132765969061,0.5517237997030123,0.5542902445244485,0.5338371548541119
0.5227226404391759,0.5232997317642987,0.5800308615269245,0.5223332660340534,0.5682320959880015,0.5182770422927904
0.5040751134463817,0.4940888464294244,0.5602106008393326,0.5188073629260637,0.49450126241086356,0.5057260568426081
0.5414133627971418,0.5363812563166039,0.6367560304541707,0.5515665177770213,0.5605777207654732,0.5486044309007867
0.5835722946055696,0.4821548853948153,0.5937499453261275,0.5144802657937508,0.5626033336190955,0.5360278950471595
0.5415248937320016,0.5208866032571254,0.5493777586434095,0.5385781914845671,0.5770014289252413,0.5178521223338569
0.509966078713617,0.4803430800337064,0.5619594615562733,0.5158078923685461,0.531909164476464,0.4982356634225408
0.5433900141323722,0.5343791894010235,0.6002057818651705,0.5483741719549579,0.5618758832732632,0.5314522449893629
0.5225130512532088,0.4953195754376857,0.5637054983511676,0.5628373376404873,0.546974176304885,0.4838087546748964
0.563007056028347,0.5125861521603327,0.6455627583711395,0.5748534687872303,0.5658931320641357,0.58516732038192
0.5534455301055837,0.5375384136616486,0.6022012634219426,0.5502887434267992,0.5528213633593491,0.5541262785398624
0.5637143964895254,0.5771179803986515,0.6092969036853307,0.5663410901677438,0.5884068576475814,0.5603058570390511
0.5444083177451987,0.4971137894126116,0.6086284715983715,0.5257433349873646,0.5488112171584281,0.5285659548679595
0.5508436423749828,0.5215285852045737,0.5691461633833861,0.5712475547596086,0.5503193277310924,0.5558776691004271
0.5324923148694239,0.5006480921343328,0.5305632096063657,0.5268216272185422,0.5169869357521187,0.5030228496331428
0.5001673319962767,0.5082754368624591,0.5966393257780038,0.5257109510694854,0.5647370908462801,0.5660601531537583
0.5674256214133515,0.5003720206174194,0.6237451709844348,0.5557824588499436,0.5696271009154444,0.5779087987676944
0.5749688403786657,0.5264877799636805,0.5865712015738499,0.5652857121838849,0.5337585334274952,0.5623029534907183
0.4689831491653358,0.5300684393582408,0.5673448536801373,0.5425648884846663,0.5552212761183163,0.5304830859060755
0.5424478897311866,0.5530230834658035,0.5652491763077904,0.5093129186871937,0.5811707124071495,0.5311888381546483
0.5438749237462159,0.5527580719224736,0.5982864736527067,0.5587490656226461,0.5861651053137551,0.5578578868131312
0.5636299692429678,0.47534257962618376,0.6231643295158804,0.5688676168735253,0.5530952061232711,0.5516027547046749
0.4861541381433009,0.5363835468422538,0.5999050030075687,0.5186183059003575,0.5603637601536823,0.5567707449431173
0.5552115750470977,0.566002064655462,0.571757784168194,0.5176607986578582,0.5834554708735277,0.5689828964961106
0.5040970887322181,0.5289742142670933,0.5540404141683545,0.5174755325355923,0.49136751377712334,0.513848264956212
0.5318751260758473,0.49361005580957507,0.587750365619957,0.5851952284494351,0.4820452234064013,0.5507402753496503
0.5354976951887065,0.5513627954934874,0.5893819466557491,0.5412771611396685,0.570637159016816,0.5224544723953357
0.5693610159242088,0.5377612040583216,0.5510459847681481,0.5355307631409049,0.6007095927948141,0.504240905147104
0.4903060514980083,0.5306424752351075,0.5616364494169981,0.5701500610430816,0.5118078478111938,0.5187855711388651
